epi_week,date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,last_info_date
12,2020-03-18,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,1,1,0.0,0.38764,0.0,SES,2021-10-17
12,2020-03-19,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,1,0.0,0.38764,0.0,SES,2021-10-17
12,2020-03-20,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,1,0.0,0.38764,0.0,SES,2021-10-17
12,2020-03-21,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,1,0.0,0.38764,0.0,SES,2021-10-17
13,2020-03-22,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,3,4,0.0,1.55056,0.0,SES,2021-10-17
13,2020-03-23,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,4,0.0,1.55056,0.0,SES,2021-10-17
13,2020-03-24,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,4,0.0,1.55056,0.0,SES,2021-10-17
13,2020-03-25,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,1,5,0.0,1.9382,0.0,SES,2021-10-17
13,2020-03-26,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,5,0.0,1.9382,0.0,SES,2021-10-17
13,2020-03-27,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,5,0.0,1.9382,0.0,SES,2021-10-17
13,2020-03-28,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,2,7,0.0,2.71348,0.0,SES,2021-10-17
14,2020-03-29,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,3,10,0.0,3.8764,0.0,SES,2021-10-17
14,2020-03-30,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,10,0.0,3.8764,0.0,SES,2021-10-17
14,2020-03-31,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,10,0.0,3.8764,0.0,SES,2021-10-17
14,2020-04-01,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,2,12,0.0,4.65169,0.0,SES,2021-10-17
14,2020-04-02,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,12,0.0,4.65169,0.0,SES,2021-10-17
14,2020-04-03,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,10,22,0.0,8.528089999999999,0.0,SES,2021-10-17
14,2020-04-04,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,2,24,0.0,9.30337,0.0,SES,2021-10-17
15,2020-04-05,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,24,0.0,9.30337,0.0,SES,2021-10-17
15,2020-04-06,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,1,25,0.0,9.69101,0.0,SES,2021-10-17
15,2020-04-07,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,1,26,0.0,10.07865,0.0,SES,2021-10-17
15,2020-04-08,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,26,0.0,10.07865,0.0,SES,2021-10-17
15,2020-04-09,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,1,27,0.0,10.466289999999999,0.0,SES,2021-10-17
15,2020-04-10,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,27,0.0,10.466289999999999,0.0,SES,2021-10-17
15,2020-04-11,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,27,0.0,10.466289999999999,0.0,SES,2021-10-17
16,2020-04-12,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,27,0.0,10.466289999999999,0.0,SES,2021-10-17
16,2020-04-13,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,3,30,0.0,11.62921,0.0,SES,2021-10-17
16,2020-04-14,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,1,31,0.0,12.01685,0.0,SES,2021-10-17
16,2020-04-15,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,4,35,0.0,13.567420000000002,0.0,SES,2021-10-17
16,2020-04-16,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,1,36,0.0,13.955060000000001,0.0,SES,2021-10-17
16,2020-04-17,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,36,0.0,13.955060000000001,0.0,SES,2021-10-17
16,2020-04-18,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,3,39,0.0,15.11798,0.0,SES,2021-10-17
17,2020-04-19,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,-1,38,0.0,14.73034,0.0,SES,2021-10-17
17,2020-04-20,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,38,0.0,14.73034,0.0,SES,2021-10-17
17,2020-04-21,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,38,0.0,14.73034,0.0,SES,2021-10-17
17,2020-04-22,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,38,0.0,14.73034,0.0,SES,2021-10-17
17,2020-04-23,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,0,38,0.0,14.73034,0.0,SES,2021-10-17
17,2020-04-24,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,2,40,0.0,15.50562,0.0,SES,2021-10-17
17,2020-04-25,Brazil,PR,Foz do Iguaçu/PR,4108304,0,0,2,42,0.0,16.2809,0.0,SES,2021-10-17
18,2020-04-26,Brazil,PR,Foz do Iguaçu/PR,4108304,1,1,0,42,0.38764,16.2809,0.023809999999999998,SES,2021-10-17
18,2020-04-27,Brazil,PR,Foz do Iguaçu/PR,4108304,0,1,-2,40,0.38764,15.50562,0.025,SES,2021-10-17
18,2020-04-28,Brazil,PR,Foz do Iguaçu/PR,4108304,0,1,0,40,0.38764,15.50562,0.025,SES,2021-10-17
18,2020-04-29,Brazil,PR,Foz do Iguaçu/PR,4108304,0,1,4,44,0.38764,17.056179999999998,0.02273,SES,2021-10-17
18,2020-04-30,Brazil,PR,Foz do Iguaçu/PR,4108304,1,2,3,47,0.77528,18.2191,0.04255,SES,2021-10-17
18,2020-05-01,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,48,0.77528,18.60674,0.04167,SES,2021-10-17
18,2020-05-02,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,48,0.77528,18.60674,0.04167,SES,2021-10-17
19,2020-05-03,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,48,0.77528,18.60674,0.04167,SES,2021-10-17
19,2020-05-04,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,48,0.77528,18.60674,0.04167,SES,2021-10-17
19,2020-05-05,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,48,0.77528,18.60674,0.04167,SES,2021-10-17
19,2020-05-06,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,49,0.77528,18.99438,0.04082,SES,2021-10-17
19,2020-05-07,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,50,0.77528,19.38202,0.04,SES,2021-10-17
19,2020-05-08,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,10,60,0.77528,23.25843,0.03333,SES,2021-10-17
19,2020-05-09,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,60,0.77528,23.25843,0.03333,SES,2021-10-17
20,2020-05-10,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,61,0.77528,23.64607,0.03279,SES,2021-10-17
20,2020-05-11,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,61,0.77528,23.64607,0.03279,SES,2021-10-17
20,2020-05-12,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,7,68,0.77528,26.35955,0.029410000000000002,SES,2021-10-17
20,2020-05-13,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,3,71,0.77528,27.522470000000002,0.02817,SES,2021-10-17
20,2020-05-14,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,71,0.77528,27.522470000000002,0.02817,SES,2021-10-17
20,2020-05-15,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,4,75,0.77528,29.073040000000002,0.02667,SES,2021-10-17
20,2020-05-16,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,75,0.77528,29.073040000000002,0.02667,SES,2021-10-17
21,2020-05-17,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,75,0.77528,29.073040000000002,0.02667,SES,2021-10-17
21,2020-05-18,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,75,0.77528,29.073040000000002,0.02667,SES,2021-10-17
21,2020-05-19,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,76,0.77528,29.46068,0.02632,SES,2021-10-17
21,2020-05-20,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,77,0.77528,29.84832,0.02597,SES,2021-10-17
21,2020-05-21,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,4,81,0.77528,31.39888,0.02469,SES,2021-10-17
21,2020-05-22,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,81,0.77528,31.39888,0.02469,SES,2021-10-17
21,2020-05-23,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,5,86,0.77528,33.33708,0.02326,SES,2021-10-17
22,2020-05-24,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,86,0.77528,33.33708,0.02326,SES,2021-10-17
22,2020-05-25,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,86,0.77528,33.33708,0.02326,SES,2021-10-17
22,2020-05-26,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,87,0.77528,33.72472,0.02299,SES,2021-10-17
22,2020-05-27,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,16,103,0.77528,39.926970000000004,0.01942,SES,2021-10-17
22,2020-05-28,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,13,116,0.77528,44.96629,0.017240000000000002,SES,2021-10-17
22,2020-05-29,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,9,125,0.77528,48.455059999999996,0.016,SES,2021-10-17
22,2020-05-30,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,1,126,0.77528,48.8427,0.01587,SES,2021-10-17
23,2020-05-31,Brazil,PR,Foz do Iguaçu/PR,4108304,0,2,0,126,0.77528,48.8427,0.01587,SES,2021-10-17
23,2020-06-01,Brazil,PR,Foz do Iguaçu/PR,4108304,1,3,0,126,1.1629200000000002,48.8427,0.023809999999999998,SES,2021-10-17
23,2020-06-02,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,2,128,1.1629200000000002,49.617979999999996,0.02344,SES,2021-10-17
23,2020-06-03,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,2,130,1.1629200000000002,50.39326,0.02308,SES,2021-10-17
23,2020-06-04,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,3,133,1.1629200000000002,51.55618,0.02256,SES,2021-10-17
23,2020-06-05,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,0,133,1.1629200000000002,51.55618,0.02256,SES,2021-10-17
23,2020-06-06,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,-1,132,1.1629200000000002,51.16854,0.02273,SES,2021-10-17
24,2020-06-07,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,0,132,1.1629200000000002,51.16854,0.02273,SES,2021-10-17
24,2020-06-08,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,0,132,1.1629200000000002,51.16854,0.02273,SES,2021-10-17
24,2020-06-09,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,1,133,1.1629200000000002,51.55618,0.02256,SES,2021-10-17
24,2020-06-10,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,3,136,1.1629200000000002,52.7191,0.02206,SES,2021-10-17
24,2020-06-11,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,0,136,1.1629200000000002,52.7191,0.02206,SES,2021-10-17
24,2020-06-12,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,31,167,1.1629200000000002,64.73595999999999,0.01796,SES,2021-10-17
24,2020-06-13,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,0,167,1.1629200000000002,64.73595999999999,0.01796,SES,2021-10-17
25,2020-06-14,Brazil,PR,Foz do Iguaçu/PR,4108304,0,3,0,167,1.1629200000000002,64.73595999999999,0.01796,SES,2021-10-17
25,2020-06-15,Brazil,PR,Foz do Iguaçu/PR,4108304,1,4,1,168,1.55056,65.1236,0.023809999999999998,SES,2021-10-17
25,2020-06-16,Brazil,PR,Foz do Iguaçu/PR,4108304,0,4,15,183,1.55056,70.93821,0.02186,SES,2021-10-17
25,2020-06-17,Brazil,PR,Foz do Iguaçu/PR,4108304,0,4,0,183,1.55056,70.93821,0.02186,SES,2021-10-17
25,2020-06-18,Brazil,PR,Foz do Iguaçu/PR,4108304,0,4,30,213,1.55056,82.56742,0.01878,SES,2021-10-17
25,2020-06-19,Brazil,PR,Foz do Iguaçu/PR,4108304,0,4,-1,212,1.55056,82.17978000000001,0.018869999999999998,SES,2021-10-17
25,2020-06-20,Brazil,PR,Foz do Iguaçu/PR,4108304,0,4,5,217,1.55056,84.11798,0.018430000000000002,SES,2021-10-17
26,2020-06-21,Brazil,PR,Foz do Iguaçu/PR,4108304,1,5,3,220,1.9382,85.2809,0.02273,SES,2021-10-17
26,2020-06-22,Brazil,PR,Foz do Iguaçu/PR,4108304,0,5,2,222,1.9382,86.05618,0.02252,SES,2021-10-17
26,2020-06-23,Brazil,PR,Foz do Iguaçu/PR,4108304,0,5,5,227,1.9382,87.99439,0.02203,SES,2021-10-17
26,2020-06-24,Brazil,PR,Foz do Iguaçu/PR,4108304,0,5,6,233,1.9382,90.32023000000001,0.02146,SES,2021-10-17
26,2020-06-25,Brazil,PR,Foz do Iguaçu/PR,4108304,0,5,3,236,1.9382,91.48315,0.02119,SES,2021-10-17
26,2020-06-26,Brazil,PR,Foz do Iguaçu/PR,4108304,1,6,11,247,2.3258400000000004,95.7472,0.02429,SES,2021-10-17
26,2020-06-27,Brazil,PR,Foz do Iguaçu/PR,4108304,0,6,83,330,2.3258400000000004,127.92136,0.01818,SES,2021-10-17
27,2020-06-28,Brazil,PR,Foz do Iguaçu/PR,4108304,0,6,26,356,2.3258400000000004,138.00001,0.01685,SES,2021-10-17
27,2020-06-29,Brazil,PR,Foz do Iguaçu/PR,4108304,2,8,2,358,3.10112,138.77528999999998,0.02235,SES,2021-10-17
27,2020-06-30,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,39,397,3.10112,153.89327,0.02015,SES,2021-10-17
27,2020-07-01,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,40,437,3.10112,169.39889,0.01831,SES,2021-10-17
27,2020-07-02,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,43,480,3.10112,186.06743,0.016669999999999997,SES,2021-10-17
27,2020-07-03,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,62,542,3.10112,210.10114,0.014759999999999999,SES,2021-10-17
27,2020-07-04,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,12,554,3.10112,214.75282,0.01444,SES,2021-10-17
28,2020-07-05,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,34,588,3.10112,227.9326,0.013609999999999999,SES,2021-10-17
28,2020-07-06,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,5,593,3.10112,229.8708,0.01349,SES,2021-10-17
28,2020-07-07,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,9,602,3.10112,233.35956000000002,0.01329,SES,2021-10-17
28,2020-07-08,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,6,608,3.10112,235.68541000000002,0.01316,SES,2021-10-17
28,2020-07-09,Brazil,PR,Foz do Iguaçu/PR,4108304,0,8,38,646,3.10112,250.41574,0.01238,SES,2021-10-17
28,2020-07-10,Brazil,PR,Foz do Iguaçu/PR,4108304,3,11,26,672,4.26405,260.4944,0.01637,SES,2021-10-17
28,2020-07-11,Brazil,PR,Foz do Iguaçu/PR,4108304,0,11,51,723,4.26405,280.26406000000003,0.01521,SES,2021-10-17
29,2020-07-12,Brazil,PR,Foz do Iguaçu/PR,4108304,0,11,3,726,4.26405,281.42697999999996,0.01515,SES,2021-10-17
29,2020-07-13,Brazil,PR,Foz do Iguaçu/PR,4108304,0,11,0,726,4.26405,281.42697999999996,0.01515,SES,2021-10-17
29,2020-07-14,Brazil,PR,Foz do Iguaçu/PR,4108304,0,11,20,746,4.26405,289.17978999999997,0.01475,SES,2021-10-17
29,2020-07-15,Brazil,PR,Foz do Iguaçu/PR,4108304,0,11,68,814,4.26405,315.53934,0.01351,SES,2021-10-17
29,2020-07-16,Brazil,PR,Foz do Iguaçu/PR,4108304,3,14,43,857,5.42697,332.20788,0.01634,SES,2021-10-17
29,2020-07-17,Brazil,PR,Foz do Iguaçu/PR,4108304,2,16,79,936,6.20225,362.83148,0.01709,SES,2021-10-17
29,2020-07-18,Brazil,PR,Foz do Iguaçu/PR,4108304,0,16,108,1044,6.20225,404.69665,0.015330000000000002,SES,2021-10-17
30,2020-07-19,Brazil,PR,Foz do Iguaçu/PR,4108304,0,16,96,1140,6.20225,441.91014,0.01404,SES,2021-10-17
30,2020-07-20,Brazil,PR,Foz do Iguaçu/PR,4108304,0,16,73,1213,6.20225,470.20789,0.01319,SES,2021-10-17
30,2020-07-21,Brazil,PR,Foz do Iguaçu/PR,4108304,1,17,118,1331,6.58989,515.94947,0.01277,SES,2021-10-17
30,2020-07-22,Brazil,PR,Foz do Iguaçu/PR,4108304,2,19,232,1563,7.36517,605.8820599999999,0.012159999999999999,SES,2021-10-17
30,2020-07-23,Brazil,PR,Foz do Iguaçu/PR,4108304,0,19,191,1754,7.36517,679.9213900000001,0.01083,SES,2021-10-17
30,2020-07-24,Brazil,PR,Foz do Iguaçu/PR,4108304,0,19,210,1964,7.36517,761.3258900000001,0.00967,SES,2021-10-17
30,2020-07-25,Brazil,PR,Foz do Iguaçu/PR,4108304,7,26,76,2040,10.07865,790.78656,0.01275,SES,2021-10-17
31,2020-07-26,Brazil,PR,Foz do Iguaçu/PR,4108304,0,26,0,2040,10.07865,790.78656,0.01275,SES,2021-10-17
31,2020-07-27,Brazil,PR,Foz do Iguaçu/PR,4108304,1,27,77,2117,10.466289999999999,820.63488,0.01275,SES,2021-10-17
31,2020-07-28,Brazil,PR,Foz do Iguaçu/PR,4108304,0,27,28,2145,10.466289999999999,831.48881,0.01259,SES,2021-10-17
31,2020-07-29,Brazil,PR,Foz do Iguaçu/PR,4108304,1,28,34,2179,10.85393,844.66859,0.01285,SES,2021-10-17
31,2020-07-30,Brazil,PR,Foz do Iguaçu/PR,4108304,2,30,64,2243,11.62921,869.4775800000001,0.013369999999999998,SES,2021-10-17
31,2020-07-31,Brazil,PR,Foz do Iguaçu/PR,4108304,0,30,48,2291,11.62921,888.0843199999999,0.013090000000000001,SES,2021-10-17
31,2020-08-01,Brazil,PR,Foz do Iguaçu/PR,4108304,2,32,85,2376,12.4045,921.0337599999999,0.01347,SES,2021-10-17
32,2020-08-02,Brazil,PR,Foz do Iguaçu/PR,4108304,0,32,8,2384,12.4045,924.1348800000001,0.01342,SES,2021-10-17
32,2020-08-03,Brazil,PR,Foz do Iguaçu/PR,4108304,0,32,22,2406,12.4045,932.66297,0.0133,SES,2021-10-17
32,2020-08-04,Brazil,PR,Foz do Iguaçu/PR,4108304,1,33,62,2468,12.79214,956.6966800000001,0.013369999999999998,SES,2021-10-17
32,2020-08-05,Brazil,PR,Foz do Iguaçu/PR,4108304,0,33,58,2526,12.79214,979.17983,0.013059999999999999,SES,2021-10-17
32,2020-08-06,Brazil,PR,Foz do Iguaçu/PR,4108304,3,36,89,2615,13.955060000000001,1013.67983,0.01377,SES,2021-10-17
32,2020-08-07,Brazil,PR,Foz do Iguaçu/PR,4108304,1,37,21,2636,14.3427,1021.82028,0.01404,SES,2021-10-17
32,2020-08-08,Brazil,PR,Foz do Iguaçu/PR,4108304,0,37,2,2638,14.3427,1022.59556,0.01403,SES,2021-10-17
33,2020-08-09,Brazil,PR,Foz do Iguaçu/PR,4108304,1,38,94,2732,14.73034,1059.03377,0.013909999999999999,SES,2021-10-17
33,2020-08-10,Brazil,PR,Foz do Iguaçu/PR,4108304,2,40,57,2789,15.50562,1081.12927,0.01434,SES,2021-10-17
33,2020-08-11,Brazil,PR,Foz do Iguaçu/PR,4108304,2,42,2,2791,16.2809,1081.90456,0.01505,SES,2021-10-17
33,2020-08-12,Brazil,PR,Foz do Iguaçu/PR,4108304,0,42,2,2793,16.2809,1082.67984,0.015040000000000001,SES,2021-10-17
33,2020-08-13,Brazil,PR,Foz do Iguaçu/PR,4108304,0,42,147,2940,16.2809,1139.66299,0.01429,SES,2021-10-17
33,2020-08-14,Brazil,PR,Foz do Iguaçu/PR,4108304,0,42,39,2979,16.2809,1154.78096,0.0141,SES,2021-10-17
